class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/drasiKYKtnDo,Giovanna d'Aragona,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,part_of,,,,,,,,149.0,Giovan Battista Giraldi Cinthio.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENq7SsHPfC3T,Del tempio alla divina signora donna Giovanna d'Aragona,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WdY5JsWWztUd,republic of letters,,,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,Compagnia dei Pastori Fratteggianti,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvVWzBztq38s,poetry,,,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,text,,,,,,,,,,,,,,,,,,,,,,"QUESTO felice, e glorioso Tempio
De la più chiara Dea, ch'oggi s'honori,
Poi ch'io non ho condegni incensi, e fiori
Colpa del duro mio destino, & empio,

Dietro a voi, che di morte fate scempio
Fra i famosi, e più saggi scrittori
Dotti figli d'Esperia almi pastori
Di queste belle rime adorno, & empio;

Che se m'havesse il Cielo alzata, dove
Alzato ha lei, alzato ha'l vostro stile,
Oh me beata, e paghi i desir miei.

Voi dunque in rime disusate, e nove,
Fate udire il suo nome a Battro, e a Tile,
E tutto quel ch'io volli, e non potei.",,
PoeticWork,"Questo felice, e glorioso Tempio",,,"Questo felice, e glorioso Tempio","Questo felice, e glorioso Tempio.md",XkoPJFDEW3gm,613934684350686482467,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
