class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,part_of,,,,,,"Canto I, 1",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7WmdoicdMZx,Astolfeide del divino Pietro Aretino,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,subject,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,poetic_type,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,metre,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,text,,,,,,,,,,,,,,,,,,,,"Le Temerarie Imprese, i strani effetti, 
I Cuor Bramosi, l'insatiabil menti,
De' Cavallieri Erranti, i gran Concetti, 
Le Sorti, i Paragon di tutte genti, 
Baron da Mensa, & Campioni da Letti, 
Di Carlo Magno, & tutti i suoi parenti, 
De' Paladin da ver di quei da Ciance 
Canto l'Armi, l'Amor fra spade, & lance.",,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",4bvKucwjvDKj,53551170939697389740,described_by_source,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzQMzWpG79QK,(Selepiuc 2020)
