class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/drYc2kkZgZmi,Innocenzio Ringhiero,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLmkQV9MHrnh,1.0,Giuoco dell'Amante et dell'Amato. X.,15.0,"Cento giuochi liberali, et d'ingegno",,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,subject,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,Ben può cingermi il cor di quanti affanni,,,Ben può cingermi il cor di quanti affanni,Ben può cingermi il cor di quanti affanni.md,dD7UBn8jEhY6,726273536477552094622,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZrQCbqiD2eU2,Moon,,,
