class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_pseudonym,member_label,interested_in_value,interested_in_reference,interested_in_label,notable_work_value,related_to_value
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,identifier,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mvo9Fng6Hu9m,(Everson 2017),,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,instance_of,,,,[[academy]],,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,inception,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,dissolved,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,official_website,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",125.0,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,member,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mvo9Fng6Hu9m', 'label': '(Everson 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aR27UgntvNYH,L'Inalterabile,Elena Cornaro Piscopia,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bqMdW5xvKJx7,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mvo9Fng6Hu9m', 'label': '(Everson 2017)'}]",Romanesco,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,notable_work,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infecondi di Roma,,,Accademia degli Infecondi di Roma,Accademia degli Infecondi di Roma.md,B5xtnRXHgmPY,187157836257124798767,related_to,,,,,,,,,,,,,,,,,,,,
