class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,identifier,http://id.sbn.it/bid/CFIE041195,,,,,,,,,,,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,described_by_source,,,,,,,,,,,,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NMqic8eqERvf,oration,,,,,,,,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,title,,,,,"La famosa disputa fatta tra l'armi, & le lettere con la difinitione, quali di loro cedino in nobiltà: composta da m. Fedele Honofri. Dedicata all'eccellentissimo signor don Giovanni de medici, suo patrone colendiss",,,,,,,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,inception,,,,,,1610.0,,,,,,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,has_version,,,,,,,http://id.sbn.it/bid/CFIE041195,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/neVsZzX9EjAy', 'label': 'Francesco Tosi'}",1610.0,https://books.google.be/books?id=0JwRuNqG4kAC,,,,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZoTyFnAARjr,Don Giovanni de' Medici,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dctmm6NH4inS,Fedele Onofri,,,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y98hqupshSSh,quarrel of arms and letters,,,
Book,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà",,,"La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà","La famosa disputa fatta tra l'armi, e le lettere con la definizione, quali di loro cedino in nobiltà.md",jH3MryomRxvL,851510959951467490158,based_on,,,,,,,,,,,,,,,,,,,
