class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,identifier,http://www.wikidata.org/entity/Q1067,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NoVukKRyZHC2,(Refini 2025),,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,work_location,,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,member_of,,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,related_to,,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,notable_work,,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,interested_in,,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Dante Alighieri,,,Dante Alighieri,Dante Alighieri.md,AvqrDxK5gCzS,184216823057693263800,present_in_work,,,,,,,,,,,,,,,,
