class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,described_by_source,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,inception,,,,,1540.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,dissolved,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1545.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LMDs6rjFqCi5,Padova,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",20.0,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,member,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,interested_in,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,notable_work,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,related_to,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,9X7SmTENZRVk,154984782398537693400,motto,,,,,,,,,,,,,,,,,,,
