class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label
Concept,libro sorte,"Divination book in the form of a storytelling game, with randomization procedures such as dice or a deck of cards.","['fortune-telling book', 'libro di sorte']",libro sorte,libro sorte.md,a8ufX9TqHzux,662849100952292546226,identifier,,,
Concept,libro sorte,"Divination book in the form of a storytelling game, with randomization procedures such as dice or a deck of cards.","['fortune-telling book', 'libro di sorte']",libro sorte,libro sorte.md,a8ufX9TqHzux,662849100952292546226,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020)
