class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,,,,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,part_of,,,,,,"Canto I, 1",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,,,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Le donne i cavallier l'arme gli amori,Le donne i cavallier l'arme gli amori.md,Le donne i cavallier l'arme gli amori,S2FS7sVvFihi,495346852210028427886,text,,,,,,,,,,,,,,,,,,,,,"Le donne, i cavallier, l'arme, gli amori,
le cortesie, l'audaci imprese io canto,
che furo al tempo che passaro i Mori
d'Africa il mare, e in Francia nocquer tanto,
seguendo l'ire e i giovenil furori
d'Agramante lor re, che si diè vanto
di vendicar la morte di Troiano
sopra re Carlo imperator romano."
