class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,identifier,https://edit16.iccu.sbn.it/titolo/CNCE009895,,,,,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/002250010,,,,,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,title,,,,,,Madrigali del magnifico signor cauallier Luigi Cassola piacentino,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,inception,,,,,,,1544.0,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE009895,1544.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://books.google.it/books?id=OIusG9Td-fwC,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ewPgHKZpLaZe,Luigi Cassola,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,subject,,,,,,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,has_part,,,,,,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,based_on,,,,,,,,,,,,,,,,,,
Book,Madrigali del magnifico signor cavalier Luigi Cassola,,,Madrigali del magnifico signor cavalier Luigi Cassola,Madrigali del magnifico signor cavalier Luigi Cassola.md,5HbWBHmaTWx7,67550936046648004058,catalog_identifier,,,,,,,,,,,,,,,,,,
