class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,work_location,,,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,member_of,,,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LStkRDBxc8jf,Gustavus Selenus,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,notable_work,,,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,interested_in,,,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,catalog_identifier,,,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,present_in_work,,,,,,,,,,,,,,,
Agent,Philipp Hainhofer,Philipp Hainhofer.md,Philipp Hainhofer,MwEGezR4nEB7,411347714397471653765,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q88048
