class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,identifier_value
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,work_location,,,,,,,,,,,,,,,,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,member_of,,,,,,,,,,,,,,,,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DVrS9nK98tHq,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PisMNabZrMmn', 'label': 'student'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HY889E59KdVv', 'label': '(Perrucci [1699] 2008)'}]",Lope de Vega,,,,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hy9k3w5DkZPh,"Dell'arte rappresentativa premeditata, ed all'improviso",,,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y6dvnErBpngV,improvisational theater,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",17678.0,
Agent,Andrea Perrucci,Andrea Perrucci.md,Andrea Perrucci,5Rbjess39FUi,70448705228936645281,identifier,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3615930
