class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036871,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV51320010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,identifier,https://rism.online/sources/993120395,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,title,,,,,,"Primo libro de diuersi eccellent.mi auttori a quattro voci, intitulato Il desiderio. Nouamente posti in luce, per Giulio Bonagionta da S. Genesi, musico dell'illustriss. sig. di Vineggia",,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,inception,,,,,,,1566.0,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE036871,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00074124,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1566.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00074124/manifest,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8Li53sDGriur,Gasparo Patronieri,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,subject,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,has_part,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci.md,2Crj9QoT9n4X,3929786550014713136,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
