class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,identifier,https://edit16.iccu.sbn.it/titolo/CNCE038182,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,title,,,,,,"Rime di diuersi celebri poeti dell'età nostra: nuouamente raccolte, e poste in luce",,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,inception,,,,,,,1587.0,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,has_version,,,,,,,,1587.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iG7WWQ4U3KTG', 'label': 'Comino Ventura'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4G4zUCvYBvXZ', 'label': 'Bergamo'}]",https://edit16.iccu.sbn.it/titolo/CNCE038182,https://books.google.it/books?id=RKFP6-8DuOEC,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oGuCnrkrFAY9,Angelo Grillo,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6FSwyQUqdeCQ,Orsola Bertolai,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,subject,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,based_on,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,ZmhzcSbPoocH,655534344295746909252,catalog_identifier,,,,,,,,,,,,,,,,,,,
