class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F130201001010101_000000105500C,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FfrXyTmswQB2,contrafactum,,,,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Qp9KXrKkaTXi,Francesco dalla Viola,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9QCS8BX4gKN2,Di Francesco Viola il primo libro de madrigali a quattro voci,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSYHRQgqztR,"Ruggier, qual sempre fui, tal esser voglio",,,,,,,,,,,,
MusicComposition,Donna qual sempre fui tal'esser voglio,,,Donna qual sempre fui tal'esser voglio,Donna qual sempre fui tal'esser voglio.md,C3bCyXZ9HkJh,206931853330672053984,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
