class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=29136,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,identifier,https://lyra.unil.ch/poems/6023,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QCahxhU4Tbt4', 'label': 'Chiara Matraini'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,part_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FH4Qpne4sWzF,104.0,Rime di diversi signori napoletani Libro settimo,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RxPzK5AT4e8P,longing,,,,,,,
PoeticWork,Quant'ho più da lontan l'aspetto vostro,,,Quant'ho più da lontan l'aspetto vostro,Quant'ho più da lontan l'aspetto vostro.md,c62TngB2PHxs,703071602742384470965,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddyPTXYyiFzq,loyalty,,,,,,,
