class,aliases,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,"['sheet music', 'partiture', 'score', 'musical score']",Musical notation rendering multiple voices vertically. Use partbook for separate parts.,music score,music score.md,music score,AbuDB4awtRQP,177359467045365922443,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bhVrnpo7Jttc,notated music,,
Concept,"['sheet music', 'partiture', 'score', 'musical score']",Musical notation rendering multiple voices vertically. Use partbook for separate parts.,music score,music score.md,music score,AbuDB4awtRQP,177359467045365922443,subclass_of,,,,
Concept,"['sheet music', 'partiture', 'score', 'musical score']",Musical notation rendering multiple voices vertically. Use partbook for separate parts.,music score,music score.md,music score,AbuDB4awtRQP,177359467045365922443,identifier,,,,http://www.wikidata.org/entity/Q187947
