class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,"['flight', 'escape', 'retreat', 'run away', 'fuga']",fleeing,fleeing.md,fleeing,iWa8EnwdNBqa,835776869360096436662,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NipdbPwHTGmA,activity,,
Concept,"['flight', 'escape', 'retreat', 'run away', 'fuga']",fleeing,fleeing.md,fleeing,iWa8EnwdNBqa,835776869360096436662,subclass_of,,,,
Concept,"['flight', 'escape', 'retreat', 'run away', 'fuga']",fleeing,fleeing.md,fleeing,iWa8EnwdNBqa,835776869360096436662,identifier,,,,http://www.wikidata.org/entity/Q1430466
