class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,inception,,,1554.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",516.0,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,member,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J82PkibLWFG6,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Ortensio Lando,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Filareti di Ferrara,Accademia dei Filareti di Ferrara.md,Accademia dei Filareti di Ferrara,7VHR35QrVpSx,113052236286030305895,motto,,,,,,,,,,,,,,,,,
