class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,member_of,,,,,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,occupation,,,,,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,related_to,,,,,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,notable_work,,,,,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RQhfkTQ6u2pJ,rhetorical figure,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,catalog_identifier,,,,,,,,,,,,,,
Agent,Francesco Alunno,Francesco Alunno.md,Francesco Alunno,PuUHPWqDuuV8,451984449147950079051,present_in_work,,,,,,,,,,,,,,
