class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,identifier,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,described_by_source,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,inception,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,dissolved,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,location,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,official_website,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",495.0,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,member,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,notable_work,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,related_to,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,Uz2mEwhRUFWw,556812080534649816668,motto,,,,,,,,,,,,,,,
