class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,work_location,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,Compagnia dei Pastori Fratteggianti,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,occupation,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,related_to,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,notable_work,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,interested_in,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0210,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16298,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,present_in_work,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,Ts84ndzSUdKS,533675549447322612519,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q113046538
