class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_section,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,identifier,https://lyra.unil.ch/poems/8092,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,Benedetto Varchi,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/45W9u7KVdj9K,Francesco Sansovino,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,part_of,,,,,,,,,209.0,Di M. Francesco Sansovino,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/28Gh3VdwbtJh,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",K4gZA9U9oCuC,351779190597797799844,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hxGbZLpsZTDB,elegy,,,,,,,,,
