class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,identifier,http://www.wikidata.org/entity/Q111164364,,,,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,described_by_source,,,,,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,work_location,,,,,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,member_of,,,,,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,related_to,,,,,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/K2FLUmMBN9Ho,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,interested_in,,,,,,,,,,,,,,,,,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0790,
Agent,Dafne di Piazza,,['Daphne di Piazza'],Dafne di Piazza,Dafne di Piazza.md,Toq3FPHGLEDw,532487653525759640459,present_in_work,,,,,,,,,,,,,,,,,
