class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,identifier,http://www.wikidata.org/entity/Q3769562,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,described_by_source,,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,work_location,,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,member_of,,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,occupation,,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,related_to,,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,notable_work,,,,,,,,,,,,,,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,,
Agent,Giulio Cesare Capaccio,,,Giulio Cesare Capaccio,Giulio Cesare Capaccio.md,G4UZA6iXzGV8,289795273280973415401,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15014.0
