class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,identifier,http://www.wikidata.org/entity/Q55226987,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,described_by_source,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9yMg38pzu5NF,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",Accademia degli Alterati di Firenze,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,occupation,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,related_to,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,notable_work,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,interested_in,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,DZrXjAaQeUNk,238526114162711053962,catalog_identifier,,,,,,,,,,,,,,,,
