class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F042510000101_PPPP00068900C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RXceEhxAfBG4,Luigi Cassola,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BhjtUjoTxcz3,314.0,62.0,Madrigali del magnifico signor cavalier Luigi Cassola,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PgcFuPe2GzQH,loyalty,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,depicts,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Amar un sol amante è vero amore,,,Amar un sol amante è vero amore,Amar un sol amante è vero amore.md,bSDGRkC2DExs,689744968924198749691,text,,,,,,,,,,,,,,,,,,,,,,,,"Amar un sol amante è vero amore;
Et d'alma gentil nasce,
Ma chi di più l'ingorda voglia pasce
Quest'è lussuria poi, quest'è furore:
Voi sguardi, & risi, pur date a ciascuno:
Ma io dico in due parole;
Amate un solo; & ch'io sia poi quel uno;
In fine haver un sol amor si vole;
Ch'a noi ci basta un Dio, ci basta un Sole:"
