class,base_name,filename,label,id,n_id,property,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,described_by_source,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T4QqNLwvD5Lj,comedy,,,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,title,,,,,"Le due comedie in comedia, suggetto strauagantissimo, di Gio. Battista Andreini",,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,inception,,,,,,1623.0,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,has_version,,,,,,,http://id.sbn.it/bid/MODE054147,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,1623.0,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cS2ZRx7FP2Cu,Giambattista Andreini,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,depicts,,,,,,,,,,,,,,,,,,,,,
Book,Le due commedie in commedia di Gio. Battista Andreini,Le due commedie in commedia di Gio. Battista Andreini.md,Le due commedie in commedia di Gio. Battista Andreini,JCJKoNutfjSp,333898337977748000893,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
