class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_value,part_of_pages,part_of_label,based_on_value,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fXurj2BzALG4,Vincenzo Panciatichi,,,,,,,,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,part_of,,,,,,,,Amore. Del Sig. Cavalliero Vincenzo Panciatichi. Cartello Primo,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YYFRNeCKx9AL,41.0,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,based_on,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GMAwvtJt3st5,chain,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bQEbyzNZYNAJ,poison,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/86Q2aWNHHazc,duel,,,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Voi che a gl'aringhi miei dolci contese,,,Voi che a gl'aringhi miei dolci contese,Voi che a gl'aringhi miei dolci contese.md,3KeUeBxqsGEy,27022087034263094500,text,,,,,,,,,,,,,,,,,,,,,,,,,,"Voi che a gl'aringhi miei dolci contese
Ma di fero velen sovente armate,
Aman i Cavallier con Donne accese
Di sdegno haveste a' merti vostri ingrate;
Vedeste al fin, che di superbe offese,
Onde languisce il cor fur disarmate;
E così amici, in cari nodi avvinti;
Non conosceste o vincitori, o vinti."
