class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_publisher,has_version_permalink,contributor_role,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044694,,,,,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV52010010,,,,,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,title,,,,,,"Il lauro verde, madrigali a sei voci di diversi autori",,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,inception,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,has_version,,,,,,,,1593.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://orka.bibliothek.uni-kassel.de/viewer/image/1384758684812/59/,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE044695,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,has_version,,,,,,,,1583.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR', 'label': 'Ferrara'}]",https://pbc.gda.pl/dlibra/publication/87732/edition/79478,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6rozP5T2VHGk', 'label': 'Vittorio Baldini'}",https://edit16.iccu.sbn.it/titolo/CNCE044694,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,subject,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,has_part,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instrumentation,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGvRViUmPajp,quintus
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instrumentation,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instrumentation,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instrumentation,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instrumentation,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
NotatedMusic,"Il lauro verde, madrigali a sei voci di diversi autori",,,"Il lauro verde, madrigali a sei voci di diversi autori","Il lauro verde, madrigali a sei voci di diversi autori.md",YJQ6MPBzqmSa,625009745843534165675,instrumentation,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CdW8d6AzyUtT,sextus
