class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,identifier,https://edit16.iccu.sbn.it/titolo/CNCE034706,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,described_by_source,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,title,,,,,Rime di madonna Gaspara Stampa,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,inception,,,,,,1554.0,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,has_version,,,,,,,1554.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jh75nfZH3HZA', 'label': 'Plinio Pietrasanta'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://books.google.it/books?id=dhaYP9ZrmSsC,https://edit16.iccu.sbn.it/titolo/CNCE034706,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,subject,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,has_part,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,LNxSnoqrbvDw,379032605536891995977,based_on,,,,,,,,,,,,,,,,,
