class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F502060010,,,,,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,title,,,,,,Rime scelte de' poeti ferraresi antichi e moderni. Aggiuntevi nel fine alcune brevi Notizie istoriche intorno ad essi,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,inception,,,,,,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,has_version,,,,,,,,1713.0,https://books.google.it/books?id=O7RdAAAAcAAJ,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UysXgbEHCAbU,Bartolomeo Ferrini,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,subject,,,,,,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,based_on,,,,,,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,catalog_identifier,,,,,,,,,,,,,,,,
Book,Rime scelte de' poeti ferraresi antichi e moderni,,,Rime scelte de' poeti ferraresi antichi e moderni,Rime scelte de' poeti ferraresi antichi e moderni.md,BzTmc6rW2imh,206160610234489014921,has_part,,,,,,,,,,,,,,,,
