class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,identifier,http://www.wikidata.org/entity/Q52937,,,,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,member_of,,,,,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM,patron of the arts,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BVavFPBEeQRA,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}",Francesco Maria Santinelli,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,notable_work,,,,,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,interested_in,,,,,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Christina of Sweden,,['Cristina di Svezia'],Christina of Sweden,Christina of Sweden.md,abCcQLTyWPhj,672363243367051736102,present_in_work,,,,,,,,,,,,,,,,,,
