class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,work_location,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,member_of,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gMdbT5JfGDFV,philosopher,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eLn4sXrKiBxP,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CqoJRNHkatyF', 'label': 'artistic legacy'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g9JEkvm2QvzR', 'label': '(Artese 1983)'}]",Orazio Toscanella,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bGgi5LAfFQE3,hermeticism,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mpPwPhnXcb3d,art of memory,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,present_in_work,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,V5TVPGB5izXm,558417233781105037825,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q331003
