class,base_name,filename,label,id,n_id,property,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_role,member_value,member_label,interested_in_value,interested_in_label,notable_work_value,identifier_value
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,instance_of,[[academy]],,,,,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,inception,,1569.0,,,,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,dissolved,,,1664.0,,,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,location,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,official_website,,,,,,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,catalog_identifier,,,,,,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MwVaYLG95JgW,Tommaso Del Nero,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YCN3YBd5MREb,theater,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/akHAqpCfXjea,philosophy,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,notable_work,,,,,,,,,,,,,,
Organisation,Accademia degli Alterati di Firenze,Accademia degli Alterati di Firenze.md,Accademia degli Alterati di Firenze,AQqFxXyysBUi,173352006320083874767,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q137432924
