class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value
Concept,"['Diana', 'Chyntia', 'Cinthia']",Artemis,Artemis.md,Artemis,JZcMnFUyKqYJ,341615584901888024740,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sase3zEpuPuV,mythical character,,
Concept,"['Diana', 'Chyntia', 'Cinthia']",Artemis,Artemis.md,Artemis,JZcMnFUyKqYJ,341615584901888024740,subclass_of,,,,
Concept,"['Diana', 'Chyntia', 'Cinthia']",Artemis,Artemis.md,Artemis,JZcMnFUyKqYJ,341615584901888024740,opposite_of,,,,
