class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FeQqwKLG5FHE,literary character,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,work_location,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,member_of,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bDmTfHcyfkqv,shepherd,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,related_to,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,notable_work,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,interested_in,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,catalog_identifier,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,2p22CwB6y8Gw,16653554619171292058,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hLjDKnMkXRqd,Eclogues
