class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,country_label,identifier_value
Place,Bologna,Bologna.md,Bologna,NAvcJHrBT6mr,415948360947320400738,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YQfHpGMNj5pE,city,,,
Place,Bologna,Bologna.md,Bologna,NAvcJHrBT6mr,415948360947320400738,country,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fCq9Z2C2Jbrg,Italy,
Place,Bologna,Bologna.md,Bologna,NAvcJHrBT6mr,415948360947320400738,identifier,,,,,http://www.wikidata.org/entity/Q1891
