class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,poetic_type_label,depicts_value,metre_value,metre_label
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F316610001010101_000000149500C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NoVukKRyZHC2,(Refini 2025),,,,,,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AvqrDxK5gCzS,Dante Alighieri,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UE5wVYcJfR6n,Luca Marenzio,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/68B6ZFB4xtRJ,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,instrumentation,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,based_on,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,text,,,,,,,,,,,,,,"Così nel mio parlar voglio esser aspro
come negl'atti questa bella pietra,
la qual ognor impetra
maggior durezza e più natura cruda,
e veste sua persona d'un diaspro
tal che per lui, o perché ella s'arretra,
non esce di faretra
saetta che già mai la colga ignuda.

Et ella ancide, e non val ch'uom si chiuda
né si dilunghi dai colpi mortali,
che, come avesser ali,
giungono altrui e spezzan ciascun'arme:
perch'io non so da lei né posso aitarme.",,,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,
MusicComposition,Così nel mio parlar voglio esser aspro (Marenzio),,,Così nel mio parlar voglio esser aspro (Marenzio),Così nel mio parlar voglio esser aspro (Marenzio).md,7c3WtjuqNwJN,115498203395318129318,subject,,,,,,,,,,,,,,,,,,,,,,
