class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,identifier,https://edit16.iccu.sbn.it/titolo/CNCE027028,,,,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2UUH2dSJC9jn,dialogue,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,title,,,,,,"Quattro libri de dubbi con le solutioni a ciascun dubbio accommodate. La materia del primo è naturale, del secondo è mista (benche per lo piu sia morale) del terzo è amorosa, & del quarto è religiosa",,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,inception,,,,,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,has_version,,,,,,,,https://books.google.it/books?id=jYJedrIHTR0C,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1552.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://edit16.iccu.sbn.it/titolo/CNCE027028,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AUBW6dFrPNFf,Isabella Villamarina,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J82PkibLWFG6,Ortensio Lando,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZkTf74RSPiqC,doubt,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,has_part,,,,,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,Wv96CzqaDxFF,596675857689468424663,based_on,,,,,,,,,,,,,,,,,,,
