class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_note,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_value,instrumentation_quantity,instrumentation_label,based_on_value,based_on_note,based_on_label
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045887,,,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV20110010,,,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,identifier,https://rism.online/sources/990063241,,,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DVnLVXg56sdF,(Schleuse 2015),,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,title,,,,,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci, del medesimo nuoamente agionto",,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,inception,,,,,,,1567.0,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045887,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U235/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1569.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}",Bassus,,,,,,,,,,,,,,
NotatedMusic,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci","Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci.md",kAeHmSyQi4Y8,869834471144242938531,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045887,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00091970,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1584.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}","Quintus, Septimus","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00091970/manifest,,,,,,,,,,,,
