class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,has_version_publisher,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TxUhBPCn3SQb,drama,,,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,title,,,"Astutie sottilissime di Bertoldo doue si scorge vn villano accorto, e sagace, il quale doppo varij, e strani accidenti a lui intrauenuti, alla fine per il suo raro, & acuto ingegno vien fatto huomo di corte, e regio consigliero. Con il suo Testamento ... Opera bella, e di grandissimo gusto. Di Giulio Cesare Croce",,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,inception,,,,,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,has_version,,,,,http://id.sbn.it/bid/UBOE072281,https://arbor.medialibrary.it/item/8ba42d16-07e7-43e2-a8bb-69d894cafec9,https://archiginnasio.jarvis.memooria.org/meta/iiif/8ba42d16-07e7-43e2-a8bb-69d894cafec9/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9WNMXGQEjZPU', 'label': 'Girolamo Cochi'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr', 'label': 'Bologna'}]",,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfF8tq3cpZ9P,Giulio Cesare Croce,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,based_on,,,,,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,has_part,,,,,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,depicts,,,,,,,,,,,,,,,,,,,,
Book,Astuzie sottilissime di Bertoldo,Astuzie sottilissime di Bertoldo.md,Astuzie sottilissime di Bertoldo,PvSLCUUSbsiN,452334092258000574167,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
