class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,identifier,http://www.wikidata.org/entity/Q1053313,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,identifier,https://edit16.iccu.sbn.it/titolo/CNCE030115,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,title,,,,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso ... Tratta dal vero originale, con aggiunta di quanto manca nell'altre edittioni, et con l'allegoria dello stesso autore et con gli argomenti a ciascun canto del s. Horatio Ariosti",,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,inception,,,,,,1575.0,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE030115,1581.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UWRwVeh9kWAP', 'label': 'Vittorio Baldini'}",https://books.google.it/books?id=sNl2gF6WThgC,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k71664j/manifest.json,First authorized version by the author.,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7pUzikYB2CFB', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bC6enjnsorhU,Orazio Ariosto,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gRCmoRbw2n22,Crusades,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,has_part,,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",MyN8HshJ2LaN,412121660039615854169,based_on,,,,,,,,,,,,,,,,,,,,
