class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m6wtPJn8ruaN,Giovanni Battista Maurizzi,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,part_of,,,,,,,,Dell'Immaturo,16.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JLv6HZNGtUao,Ricreazioni amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf,lover,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mUmjH8v3mmFT,Cupid,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4jQ3H5yuexkm,flame,,,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Non temete più, amanti",,,"Non temete più, amanti","Non temete più, amanti.md",hL73VDCZJnHi,811348617699667820785,text,,,,,,,,,,,,,,,,,,,,,,,"Non temete più, amanti,
Che vi saetti Amore,
Che vota ha la faretra nel mio core:
Né del suo foco alcun habbia sospetto,
Ch' arso havendomi il petto
Ascosa ha la facella
Né i raggi del mia lucente stella."
