class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,identifier,https://edit16.iccu.sbn.it/titolo/CNCE042999,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,identifier,https://rism.online/sources/993104334,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV50850010,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,title,,,,,,De diversi autori il quarto libro de madrigali a quatro voci,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,inception,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE042999,1554.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00071901,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00071901/manifest,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,contributor,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,De diversi autori il quarto libro de madrigali a quattro voci,,,De diversi autori il quarto libro de madrigali a quattro voci,De diversi autori il quarto libro de madrigali a quattro voci.md,3GeGzceidQYB,25934689834461207063,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
