class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value
Concept,['figure of speech'],rhetorical figure,rhetorical figure.md,rhetorical figure,RQhfkTQ6u2pJ,482842343703503949247,instance_of,,,
Concept,['figure of speech'],rhetorical figure,rhetorical figure.md,rhetorical figure,RQhfkTQ6u2pJ,482842343703503949247,subclass_of,,,
Concept,['figure of speech'],rhetorical figure,rhetorical figure.md,rhetorical figure,RQhfkTQ6u2pJ,482842343703503949247,identifier,,,http://www.wikidata.org/entity/Q10690215
