class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,identifier_value
Place,['Italia'],Italy,Italy.md,Italy,fCq9Z2C2Jbrg,767447988680997673949,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AyrcL5v7u9qb,country,,
Place,['Italia'],Italy,Italy.md,Italy,fCq9Z2C2Jbrg,767447988680997673949,country,,,,
Place,['Italia'],Italy,Italy.md,Italy,fCq9Z2C2Jbrg,767447988680997673949,identifier,,,,http://www.wikidata.org/entity/Q38
