class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_reference,member_of_label,member_of_pseudonym,member_of_start_date,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,identifier,http://www.wikidata.org/entity/Q2632451,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JHtNT5hKiL2y,(Halton 2008),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GC9Hbcvreaz8,(McNeil 1995),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42ao2xe84kbG,(Sorrentini 2015),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HDWif36ZUjNC,(Campbell 2018),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,work_location,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,kUiiaYvUfK7o,876379241387359215240,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fhxUY9jJWMZD,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4NmckkLszZdN', 'label': 'visitor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia Filarmonica di Verona,,,,,,,,,,,,,
