class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_label,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,identifier,http://www.wikidata.org/entity/Q555291,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TeKK8xs3gmdU,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Pigro,Accademia degli Stravaganti di Candia,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HgeP9DKTPBeR,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,Accademia degli Oziosi di Napoli,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,occupation,,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,notable_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/72GsnaVJGhU9,Lo cunti de li cunti,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,interested_in,,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15002.0,
Agent,Giambattista Basile,,"['Gianbattista Basile', 'Giovan Battista Basile']",Giambattista Basile,Giambattista Basile.md,mGypoq67ei6s,892766707774796763772,present_in_work,,,,,,,,,,,,,,,,,,,,,
