class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aS9jDyDiqBTA,Francesco Maria Santinelli,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,part_of,,,,,,,,Contro l'opinione di Democrito,Rime morali,65.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQq3N3zLE9Lo,(Santinelli 1985),,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mKfEc82yh2qM,philosophy,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NzeNuh8wFzPv,atomism,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,depicts,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,WpytQRQrs9Qx,594813675927933302826,text,,,,,,,,,,,,,,,,,,,,,,,,"Di Democrito rido. A caso ei vuole,
Che de gli Atomi fuor sia fatto il Mondo.
Vuol dar con questi a l'universa mole
Essere, qualità, misura e pondo.

Dunque a caso ha natura il sen fecondo?
Dunque nascere il tutto a caso suole?
Per fortuito concorso è 'l Mar profondo?
Per fortuito concorso è chiaro il Sole?

Studiata follia, che a riso move.
Sempre da l'Orto il dì corre a l'Occaso,
Né mai può traviar per strade nove.

Infallibil Natura ha persuaso,
Che v'è regola al Tutto, e che là dove
Stabil Ordine v'è, non entra il Caos."
