class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,identifier,http://www.wikidata.org/entity/Q657600,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,work_location,,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TDR5WPegxK2L,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",Accademia dei Vivi,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/evGvtjqjNjf9,mathematician,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,related_to,,,,,,,,,,,,,,,,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y3ZT8BZwpJhF,Rythmomachia,,,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JRHGHuFJvBqm,serio ludere,,
Agent,Francesco Barozzi,Italian mathematician,,Francesco Barozzi,Francesco Barozzi.md,Z9THwZjVZaBR,642407692688483592965,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",19592.0
