class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,"['Venere', 'Afrodite', 'Citerrea']",Venus,Venus.md,Venus,nZgAbVHnJRKY,919444941003722606190,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sase3zEpuPuV,mythical character,,
Concept,"['Venere', 'Afrodite', 'Citerrea']",Venus,Venus.md,Venus,nZgAbVHnJRKY,919444941003722606190,subclass_of,,,,
Concept,"['Venere', 'Afrodite', 'Citerrea']",Venus,Venus.md,Venus,nZgAbVHnJRKY,919444941003722606190,identifier,,,,http://www.wikidata.org/entity/Q47652
