class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,member_of_role,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,identifier,http://www.wikidata.org/entity/Q132184356,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UT8P4Uu8iHBk,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Accademia dei Sereni di Napoli,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iDXucpxaKjZv,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Accademia degli Infiammati di Padova,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kfWdSELgwTFq,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Accademia dei Dubbiosi di Venezia,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM,patron of the arts,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Pietro Aretino,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J82PkibLWFG6,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Ortensio Lando,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Anton Francesco Doni,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/keEYSEu5vtER,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Sperone Speroni,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,notable_work,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,CDXrJcdKgNWU,210530939038386204872,interested_in,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",heterodoxy,,,
