class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,part_of_pages,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o69XHHGSZuSV,Irene Castriota Scanderbeg,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,Dianora Sanseverino,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,part_of,,,,,,,,"Laura Terracina, III",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbmAAqzyQVgt,(van Dooren 1992),,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,part_of,,,,,,,,"All'Ill, et Eccel. D. Herina, Principessa di Bisignano",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2TJweZdSVTg3,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,19-20,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,KdiUFH94EmKM,363738446351368527958,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
