class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_external_source,has_version_place_of_publication,has_version_IIIF_manifest,contributor_value,contributor_role,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,identifier,https://edit16.iccu.sbn.it/titolo/CNCE062656,,,,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzbsVFUqEnzX,(Moroncini 2020),,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G7vsGa9x682P,humorous poetry,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,title,,,,,,Formaggiata di Sere Stentato al serenissimo re della virtude,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,inception,,,,,,,1538.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,has_version,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE062656,1542.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://books.google.it/books?id=J3VJizH9rHkC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GZKk5v5DuKWT', 'label': 'Piacenza'}]",https://dl.unito.it/fedora/objects/mag:38161/datastreams/MMIIIF/content,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,contributor,,,,,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35', 'label': 'publisher'}",Anton Francesco Doni,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EwfLmXQPbnEx,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",Giulio Landi,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtNYvYPNHggc,satire,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,iRu6ruLt7DBZ,834087228217131283645,based_on,,,,,,,,,,,,,,,,,,,,,
