class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,identifier,https://rism.online/sources/993120712,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV51940010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nj8meuq3jmBs,(Parada-Cabaleiro et al. 2017),,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,title,,,,,,Il lauro secco libro primo di madrigali a cinque voci di diuersi autori,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,inception,,,,,,,1582.0,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE044691,1582.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UWRwVeh9kWAP', 'label': 'Vittorio Baldini'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",https://edl.cultura.gov.it/item/qdjyxkl4rl,https://edl-jarvis.cultura.gov.it/meta/iiif/1c6b0254-debe-4f37-b020-493f731971c3/manifest,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RWJhybDuQZd4,Laura Peverara,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Il lauro secco libro primo di madrigali a cinque voci,,,Il lauro secco libro primo di madrigali a cinque voci,Il lauro secco libro primo di madrigali a cinque voci.md,3qyJ5kPHh3iG,38002587063520970366,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
