class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2Pdscgmu8bbW,Ridolfo Campeggi,,,,,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gQfPLJXEVPsT,6.0,6.0,La distruzione di Gierusalemme,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/e4z5crPAxqJa,religion,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FS23yoaJjtRG,martyrdom,,,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cmG7qu4tHNZL,Jesus Christ,,,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,text,,,,,,,,,,,,,,,,,,,,,,"Ove ne lasci, ove Signor ne vai
Innocente a soffrir l'ultime pene?
Dunque pur dee morir, con tanti guai,
Chi vive ne consola, e ne mantiene?
Gierusalem, Gierusalem, che fai?
Chi la destra tonante in Ciel ritiene
Del giusto Dio, perch'una pioggia horrenda
Di fiamme ultrici, hor fuora te ne scenda?",,
PoeticWork,"Ove ne lasci, ove Signor ne vai",,,"Ove ne lasci, ove Signor ne vai","Ove ne lasci, ove Signor ne vai.md",eLppTE6xb4Ci,749706338393917311670,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
