class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,identifier,http://www.wikidata.org/entity/Q3634683,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,member_of,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kKYmkpXmWLjN,courtesan,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eyV9wwcfCgPX,singer,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VJHgvh7b7uBn,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/L2FyhVSPZ7e4', 'label': '(Brown 2020)'}]",Niccolò Machiavelli,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,notable_work,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,interested_in,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,bFGxBavZuVKh,685786086144399957732,present_in_work,,,,,,,,,,,,,,,,,,
