class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,identifier_value,described_by_source_value,described_by_source_label
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,inception,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,dissolved,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/icjGncFExzV8,Brescia,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,official_website,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,catalog_identifier,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",545.0,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,member,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,notable_work,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,identifier,,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,UYFC35JKqtHg,547478082527412908522,described_by_source,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK,(Teza 2017)
