class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_publication_date,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,identifier,http://id.sbn.it/bid/UM1E018650,,,,,,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nqdAXunx4Ce4,(Cosentino 2020),,,,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,title,,,,,,La Dianea di Gio. Francesco Loredano nobile veneto. Libri quattro,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,inception,,,,,,,1638.0,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,has_version,,,,,,,,https://books.google.be/books?id=jWFRAAAAcAAJ,1638.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AjSwMKwVrJp7,Giovanni Francesco Loredano,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,based_on,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,based_on,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,depicts,,,,,,,,,,,,,,,,,,,,,,
Book,La Dianea di Gio. Francesco Loredano,,,La Dianea di Gio. Francesco Loredano,La Dianea di Gio. Francesco Loredano.md,J7CEU2yNqWgf,332049467576056263334,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
