class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_volume,part_of_pages,part_of_label,based_on_value,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cxsSo6EFGddg,Lamento d'Isabella AF. S.,,198.0,Le seste rime della signora Laura Terracina di Napoli,,,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,based_on,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,Io so che ti conturbi del mio duolo,,,Io so che ti conturbi del mio duolo,Io so che ti conturbi del mio duolo.md,mvsu3LxrTPw8,906486335764661630973,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
