class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_role,member_reference,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value,identifier_value,described_by_source_value,described_by_source_label
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YDVJE5nqGm7o,theater company,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,inception,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,location,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,official_website,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,catalog_identifier,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5tyj9gRyxuZn,Francesco Andreini,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,related_to,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,motto,,,,,,,,,,,,,,,,,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1121013,,
Organisation,Comici Gelosi,Comici Gelosi.md,Comici Gelosi,K9scK2PaQ63d,353659574975316282695,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011)
