class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,Crusades,,,Crusades,Crusades.md,SeFHUS9MYJuk,508379089463119562487,identifier,http://www.wikidata.org/entity/Q12546,
Concept,Crusades,,,Crusades,Crusades.md,SeFHUS9MYJuk,508379089463119562487,described_by_source,,
