class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F123600000020101_000000215000C,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8qMTBqEnmhVL,Ludovico Ariosto,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",[[Vincenzo Ruffo]],,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,part_of,,,,,,,,,"[[Il primo libro de madrigali, a note negre di Vincenzo Ruffo]]",,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,instrumentation,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,based_on,,,,,,,,,,,[[Ingiustissimo Amor perché sì raro]],,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,derivative_work,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,text,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,language,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,subject,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,poetic_type,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,depicts,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Ruffo),,,Ingiustissimo Amor perché sì raro (Ruffo),Ingiustissimo Amor perché sì raro (Ruffo).md,8EddxacnYcjT,128386107207555471166,metre,,,,,,,,,,,,,,,,,,
